s1,s2,s3,action,reward,ns1,ns2,ns3,done
0.2370051,-0.9715084,2.3843844,-0.8409941883449279,-2.3421667,0.31054103,-0.95056,1.529604,0.0
0.31054103,-0.95056,1.529604,-1.3551148509839823,-1.810916,0.3395449,-0.94058985,0.6134168,0.0
0.3395449,-0.94058985,0.6134168,1.7187906093702923,-1.5396478,0.3473303,-0.9377428,0.165793,0.0
0.3473303,-0.9377428,0.165793,1.2324815182576678,-1.4831029,0.33074278,-0.94372094,-0.3526419,0.0
0.33074278,-0.94372094,-0.3526419,0.5336150260416939,-1.5347503,0.28410327,-0.9587937,-0.98039037,0.0
0.28410327,-0.9587937,-0.98039037,1.4858423607508708,-1.7437084,0.21260542,-0.97713816,-1.4766092,0.0
0.21260542,-0.97713816,-1.4766092,1.2146883075964579,-2.0597565,0.11263804,-0.9936361,-2.0272596,0.0
0.11263804,-0.9936361,-2.0272596,-1.2537197644558566,-2.538077,-0.035142403,-0.9993823,-2.9605446,0.0
-0.035142403,-0.9993823,-2.9605446,1.570235993959911,-3.4580107,-0.20736139,-0.9782644,-3.474546,0.0
-0.20736139,-0.9782644,-3.474546,0.1573689676626029,-4.374509,-0.40603298,-0.9138584,-4.184639,0.0
-0.40603298,-0.9138584,-4.184639,1.2297606206562501,-5.7083764,-0.60708517,-0.7946368,-4.685569,0.0
-0.60708517,-0.7946368,-4.685569,1.584365199693973,-7.140511,-0.78616685,-0.61801434,-5.0438914,0.0
-0.78616685,-0.61801434,-5.0438914,-0.7279861001125445,-8.6721115,-0.926654,-0.3759154,-5.6166,0.0
-0.926654,-0.3759154,-5.6166,-1.559792301889293,-10.7537365,-0.9969001,-0.07867775,-6.1325054,0.0
-0.9969001,-0.07867775,-6.1325054,-1.0882593498322333,-13.142896,-0.97158027,0.23671027,-6.3547525,0.0
-0.97158027,0.23671027,-6.3547525,-0.29156884549497475,-12.463542,-0.8525108,0.5227096,-6.2209554,0.0
